Рейс №117 | Алматы → Москва | Дни: Пн,Ср,Пт | Вылет: 12:30 | Цена: 105000,00 тенге
Рейс №789 | Астана → Стамбул | Дни: Сб | Вылет: 23:10 | Цена: 135000,00 тенге
Рейс №345 | Астана → Ташкент | Дни: Вт,Cб | Вылет: 15:00 | Цена: 95000,00 тенге
Рейс №766 | Шымкент → Бишкек | Дни: Пн,Вс | Вылет: 18:00 | Цена: 55000,00 тенге
Рейс №892 | Шымкент → Астана | Дни: Пн,Ср,Пт | Вылет: 13:00 | Цена: 45000,00 тенге
Рейс №432 | Алматы → Астана | Дни: Пн,Вт,Ср,Сб | Вылет: 19:00 | Цена: 60000,00 тенге
Рейс №387 | Ташкент → Алматы | Дни: Вт,Чт | Вылет: 15:00 | Цена: 28000,00 тенге
Рейс №467 | Актау → Стамбул | Дни: Сб | Вылет: 21:00 | Цена: 90000,00 тенге
Рейс №730 | Астана → Минск | Дни: Ср,Вс | Вылет: 14:00 | Цена: 58000,00 тенге
Рейс №321 | Караганда → Шымкент | Дни: Пн | Вылет: 11:00 | Цена: 40000,00 тенге
Рейс №777 | Астана → Туркестан | Дни: Вт | Вылет: 15:00 | Цена: 35000,00 тенге
Рейс №198 | Актау → Алматы | Дни: Ср | Вылет: 22:30 | Цена: 37000,00 тенге
